Year,Major,Percentile (75) of Annual Earnings,Median Annual Earnings,Percentile (25) of Annual Earnings,Earners Count,Count of Number of Records
2024,History,49697,35933,21804,61,61
2024,Visual Arts - Media,49000,36057,20440,60,60
2024,Computer Engineering,160505,104844,76024,156,156
2024,Chemistry,71287,56269,48061,80,80
2024,Electrical Engineering - BS,113449,92359,79534,172,172
2024,Bioengineering,83579,61865,39206,40,40
2024,Cognitive Science,67291,44596,30211,153,153
2024,Public Health,62040,45419,29155,62,62
2024,Applied Mathematics,72668,56440,32556,60,60
2024,Literature/Writing,50520,38368,27740,71,71
2024,Drama,49681,34552,20471,70,70
2024,Structural Engineering,94475,82724,69371,111,111
2024,Marine Biology,54439,43721,29306,86,86
2024,"Ecology, Behavior & Evolution",47868,36565,29472,65,65
2024,Mechanical Engineering,97118,83468,72941,87,87
2022,History,61798,39486,28278,63,63
2022,Visual Arts - Media,56856,39775,26412,72,72
2022,Computer Engineering,156585,116188,78670,127,127
2022,Chemistry,67668,60905,47690,62,62
2022,Electrical Engineering - BS,117294,95204,77586,129,129
2022,Bioengineering,88384,76535,64502,40,40
2022,Cognitive Science,81054,59401,41686,254,254
2022,Public Health,63301,47615,35820,125,125
2022,Applied Mathematics,78008,58607,42662,54,54
2022,Literature/Writing,51409,36175,21139,55,55
2022,Drama,46557,32444,21611,50,50
2022,Structural Engineering,91775,78652,58881,123,123
2022,Marine Biology,54895,40373,28315,90,90
2022,"Ecology, Behavior & Evolution",57253,45019,29666,40,40
2022,Mechanical Engineering,94640,81353,64690,165,165
2020,History,58092,42306,26560,38,38
2020,Visual Arts - Media,55979,40153,25332,104,104
2020,Computer Engineering,160247,121057,95474,174,174
2020,Chemistry,69188,53985,43488,48,48
2020,Electrical Engineering - BS,111634,91897,74302,181,181
2020,Bioengineering,104357,83369,69690,32,32
2020,Cognitive Science,94112,58183,36669,272,272
2020,Public Health,66056,47801,29596,152,152
2020,Applied Mathematics,97648,73829,43032,64,64
2020,Literature/Writing,58206,42310,26739,34,34
2020,Drama,44794,26681,16645,45,45
2020,Structural Engineering,93910,81586,66837,123,123
2020,Marine Biology,55591,38855,25902,56,56
2020,"Ecology, Behavior & Evolution",63293,39079,28792,49,49
2020,Mechanical Engineering,98074,82339,65182,159,159
2018,History,59479,42939,24677,59,59
2018,Visual Arts - Media,59837,45461,24960,83,83
2018,Computer Engineering,145813,109959,88017,174,174
2018,Chemistry,92614,74320,54790,30,30
2018,Electrical Engineering - BS,104517,90951,67716,221,221
2018,Bioengineering,86435,73983,54505,47,47
2018,Cognitive Science,73564,53619,35710,228,228
2018,Public Health,57733,43791,27642,180,180
2018,Applied Mathematics,84019,61635,41816,60,60
2018,Literature/Writing,60839,42610,26433,41,41
2018,Drama,41725,29503,17055,37,37
2018,Structural Engineering,96067,83127,67340,194,194
2018,Marine Biology,52944,36342,23127,47,47
2018,"Ecology, Behavior & Evolution",49026,35113,25753,52,52
2018,Mechanical Engineering,91026,76579,64351,117,117
